id,job_order_id,coverage_description,start_date,expiration_date,status
1,278,30-day limited warranty on workmanship and minor adjustments.,2025-11-11,2026-05-10,expired
2,207,1-year comprehensive warranty on engine overhaul labor and parts.,2026-07-20,2026-10-18,voided
3,145,1-year warranty on all installed electrical parts and wiring.,2025-11-04,2026-11-04,active
4,427,1-year comprehensive warranty on engine overhaul labor and parts.,2026-03-21,2026-09-17,active
5,482,1-year comprehensive warranty on engine overhaul labor and parts.,2025-11-21,2026-02-19,expired
6,407,6-month warranty on air conditioning compressor and freon leaks.,2026-05-22,2027-05-22,active
7,79,1-year warranty on all installed electrical parts and wiring.,2026-07-06,2027-07-06,claimed
8,372,1-year warranty on all installed electrical parts and wiring.,2026-02-08,2026-05-09,voided
9,95,90-day warranty on replaced suspension components.,2025-08-16,2026-02-12,expired
10,20,1-year warranty on all installed electrical parts and wiring.,2026-03-20,2026-09-16,active
11,37,1-year comprehensive warranty on engine overhaul labor and parts.,2026-02-25,2026-08-24,nearing_expiration
12,284,1-year warranty on all installed electrical parts and wiring.,2025-11-11,2026-11-11,active
13,214,1-year comprehensive warranty on engine overhaul labor and parts.,2025-11-25,2026-05-24,expired
14,21,90-day warranty on replaced suspension components.,2025-08-23,2025-11-21,expired
15,294,1-year comprehensive warranty on engine overhaul labor and parts.,2025-12-07,2026-06-05,expired
16,270,6-month warranty on air conditioning compressor and freon leaks.,2025-10-20,2026-10-20,active
17,351,90-day warranty on replaced suspension components.,2026-07-03,2026-10-01,voided
18,390,1-year warranty on all installed electrical parts and wiring.,2026-03-06,2026-09-02,nearing_expiration
19,50,1-year comprehensive warranty on engine overhaul labor and parts.,2026-04-11,2027-04-11,active
20,122,6-month warranty on air conditioning compressor and freon leaks.,2025-11-22,2026-11-22,active
21,341,1-year warranty on all installed electrical parts and wiring.,2026-03-26,2026-04-25,voided
22,301,90-day warranty on replaced suspension components.,2026-05-26,2026-08-24,nearing_expiration
23,464,30-day limited warranty on workmanship and minor adjustments.,2025-12-27,2026-06-25,expired
24,367,30-day limited warranty on workmanship and minor adjustments.,2026-05-26,2026-11-22,active
25,360,6-month warranty on air conditioning compressor and freon leaks.,2026-05-09,2027-05-09,active
26,462,90-day warranty on replaced suspension components.,2026-01-30,2026-03-01,expired
27,399,90-day warranty on replaced suspension components.,2026-07-01,2026-07-31,expired
28,100,30-day limited warranty on workmanship and minor adjustments.,2025-10-23,2026-04-21,expired
29,398,1-year comprehensive warranty on engine overhaul labor and parts.,2026-02-24,2026-03-26,expired
30,203,1-year comprehensive warranty on engine overhaul labor and parts.,2025-12-28,2026-01-27,expired
