id,oem_part_number,brand,part_category,part_name,is_oem,description
1,KYB-00001-21,KYB,Suspension,Control Arm,False,Premium quality control arm manufactured by KYB. Designed to meet or exceed original equipment specifications.
2,BOS-00002-75,Bosch,Engine,Oil Pan,False,Premium quality oil pan manufactured by Bosch. Designed to meet or exceed original equipment specifications.
3,FOR-00003-88,Ford,Suspension,Shock Absorber,True,Premium quality shock absorber manufactured by Ford. Designed to meet or exceed original equipment specifications.
4,BOS-00004-54,Bosch,Filters,Fuel Filter,False,Premium quality fuel filter manufactured by Bosch. Designed to meet or exceed original equipment specifications.
5,DEN-00005-93,Denso,Filters,Fuel Filter,False,Premium quality fuel filter manufactured by Denso. Designed to meet or exceed original equipment specifications.
6,BOS-00006-56,Bosch,Transmission,CV Axle,False,Premium quality cv axle manufactured by Bosch. Designed to meet or exceed original equipment specifications.
7,AIS-00007-96,Aisin,Electrical,Spark Plug,False,Premium quality spark plug manufactured by Aisin. Designed to meet or exceed original equipment specifications.
8,FOR-00008-42,Ford,Engine,Oil Pan,True,Premium quality oil pan manufactured by Ford. Designed to meet or exceed original equipment specifications.
9,MIT-00009-10,Mitsubishi,Filters,Cabin Air Filter,True,Premium quality cabin air filter manufactured by Mitsubishi. Designed to meet or exceed original equipment specifications.
10,DEN-00010-40,Denso,Filters,Oil Filter,False,Premium quality oil filter manufactured by Denso. Designed to meet or exceed original equipment specifications.
11,MIT-00011-56,Mitsubishi,Brakes,Brake Caliper,True,Premium quality brake caliper manufactured by Mitsubishi. Designed to meet or exceed original equipment specifications.
12,KYB-00012-40,KYB,Suspension,Shock Absorber,False,Premium quality shock absorber manufactured by KYB. Designed to meet or exceed original equipment specifications.
13,AIS-00013-57,Aisin,Engine,Timing Belt,False,Premium quality timing belt manufactured by Aisin. Designed to meet or exceed original equipment specifications.
14,TOY-00014-82,Toyota,Electrical,Alternator,True,Premium quality alternator manufactured by Toyota. Designed to meet or exceed original equipment specifications.
15,KYB-00015-75,KYB,Engine,Water Pump,False,Premium quality water pump manufactured by KYB. Designed to meet or exceed original equipment specifications.
16,NGK-00016-97,NGK,Suspension,Sway Bar Link,False,Premium quality sway bar link manufactured by NGK. Designed to meet or exceed original equipment specifications.
17,FOR-00017-34,Ford,Filters,Oil Filter,True,Premium quality oil filter manufactured by Ford. Designed to meet or exceed original equipment specifications.
18,MIT-00018-71,Mitsubishi,Electrical,Alternator,True,Premium quality alternator manufactured by Mitsubishi. Designed to meet or exceed original equipment specifications.
