id,session_id,sender,message_text,sent_at
1,194,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-01-24 23:33:01.293298
2,10,employee,"Vehicle is throwing code P0300, what are the top three causes?",2025-11-06 20:01:46.293298
3,184,employee,Does the OEM part number fit this specific trim variant?,2025-12-03 14:11:51.293298
4,242,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-04-05 22:14:56.293298
5,65,employee,Does the OEM part number fit this specific trim variant?,2025-10-31 11:13:27.293298
6,217,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-05-08 07:49:55.293298
7,139,employee,Does the OEM part number fit this specific trim variant?,2026-07-02 10:23:25.293298
8,131,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-08-02 01:20:47.293298
9,44,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2025-09-19 02:48:17.293298
10,300,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2025-12-08 17:20:09.293298
11,63,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-04-21 15:15:23.293298
12,187,employee,What is the torque spec for the cylinder head bolts?,2026-01-25 23:46:03.293298
13,47,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-06-29 01:20:25.293298
14,69,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-03-27 22:12:48.293298
15,8,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-02-18 06:13:32.293298
16,25,employee,What is the torque spec for the cylinder head bolts?,2026-07-16 20:09:14.293298
17,72,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-05-21 23:08:36.293298
18,182,employee,What is the torque spec for the cylinder head bolts?,2025-11-14 17:14:28.293298
19,298,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-02-14 19:37:44.293298
20,220,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2025-09-04 00:33:22.293298
21,108,employee,Show me the wiring diagram for the alternator and main relay.,2025-10-22 23:51:22.293298
22,79,employee,What is the torque spec for the cylinder head bolts?,2026-06-10 06:24:19.293298
23,47,employee,Show me the wiring diagram for the alternator and main relay.,2026-06-29 01:11:09.293298
24,214,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-05-09 15:17:59.293298
25,9,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2026-07-14 16:46:45.293298
26,4,employee,What is the torque spec for the cylinder head bolts?,2026-05-01 16:49:12.293298
27,14,employee,"Vehicle is throwing code P0300, what are the top three causes?",2025-10-25 02:16:08.293298
28,191,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-07-12 18:16:53.293298
29,60,employee,Does the OEM part number fit this specific trim variant?,2026-05-16 09:12:57.293298
30,198,employee,Does the OEM part number fit this specific trim variant?,2026-04-24 18:02:23.293298
31,297,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2025-09-02 00:08:00.293298
32,169,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-05-05 20:19:23.293298
33,143,employee,Does the OEM part number fit this specific trim variant?,2025-12-28 20:52:35.293298
34,130,employee,"Vehicle is throwing code P0300, what are the top three causes?",2025-11-30 01:46:39.293298
35,185,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2025-12-04 09:49:26.293298
36,33,employee,Does the OEM part number fit this specific trim variant?,2025-08-12 15:43:33.293298
37,62,employee,Show me the wiring diagram for the alternator and main relay.,2025-09-11 07:39:15.293298
38,182,employee,"Vehicle is throwing code P0300, what are the top three causes?",2025-11-14 16:48:27.293298
39,184,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2025-12-03 14:17:37.293298
40,198,employee,How much transmission fluid is required for a complete flush on this model?,2026-04-24 18:05:14.293298
41,96,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-02-06 09:35:39.293298
42,176,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-01-18 00:51:57.293298
43,224,employee,What is the torque spec for the cylinder head bolts?,2026-04-14 22:07:13.293298
44,29,employee,Does the OEM part number fit this specific trim variant?,2026-03-18 08:17:19.293298
45,164,employee,Show me the wiring diagram for the alternator and main relay.,2026-06-17 18:28:50.293298
46,123,employee,How much transmission fluid is required for a complete flush on this model?,2025-08-16 00:13:45.293298
47,214,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-05-09 15:41:23.293298
48,141,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-10-06 14:51:20.293298
49,98,employee,Does the OEM part number fit this specific trim variant?,2026-06-04 20:07:18.293298
50,132,employee,What is the torque spec for the cylinder head bolts?,2026-08-02 10:15:24.293298
51,10,employee,How much transmission fluid is required for a complete flush on this model?,2025-11-06 19:48:29.293298
52,117,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-11-22 15:40:41.293298
53,245,employee,How much transmission fluid is required for a complete flush on this model?,2025-08-31 17:55:21.293298
54,226,employee,What is the torque spec for the cylinder head bolts?,2026-04-14 05:27:03.293298
55,208,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-01-28 22:36:25.293298
56,188,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-06-30 00:20:16.293298
57,101,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-05-15 06:37:19.293298
58,282,employee,What is the torque spec for the cylinder head bolts?,2026-02-28 13:35:05.293298
59,164,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-06-17 18:25:46.293298
60,149,employee,How much transmission fluid is required for a complete flush on this model?,2026-05-26 22:29:56.293298
61,109,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-04-09 03:11:10.293298
62,272,employee,What is the torque spec for the cylinder head bolts?,2026-03-02 02:06:15.293298
63,212,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-01-11 07:20:03.293298
64,134,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2026-03-23 10:58:35.293298
65,35,employee,How much transmission fluid is required for a complete flush on this model?,2025-12-10 12:29:46.293298
66,190,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-03-26 12:34:36.293298
67,10,employee,What is the torque spec for the cylinder head bolts?,2025-11-06 20:14:49.293298
68,91,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-05-17 05:16:14.293298
69,268,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-01-27 03:17:32.293298
70,128,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-12-07 22:06:23.293298
71,134,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-03-23 11:03:31.293298
72,230,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-02-09 04:39:15.293298
73,229,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-03-05 13:20:27.293298
74,212,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2026-01-11 07:25:18.293298
75,228,employee,How much transmission fluid is required for a complete flush on this model?,2026-06-06 14:38:40.293298
76,227,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2025-08-25 01:29:38.293298
