id,job_order_id,mechanic_notes,customer_approval_status,datetime_created,datetime_approved
1,291,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-12-17 09:25:57.312132,2025-12-19 01:25:57.312132
2,514,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-09-20 18:05:36.312132,2025-09-22 00:05:36.312132
3,136,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-04-01 19:13:44.312132,2026-04-02 21:13:44.312132
4,207,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2026-02-11 15:32:13.312132,2026-02-13 06:32:13.312132
5,228,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-07-03 21:04:45.312132,2026-07-04 16:04:45.312132
6,238,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-11-30 06:18:31.312132,2025-12-02 05:18:31.312132
7,353,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-09-06 19:13:55.312132,2025-09-08 13:13:55.312132
8,429,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-01-20 06:50:46.312132,2026-01-21 03:50:46.312132
9,198,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,disputed,2026-06-04 06:49:46.312132,2026-06-05 02:49:46.312132
10,478,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-12-17 14:11:56.312132,2025-12-19 03:11:56.312132
11,65,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2026-02-09 18:19:54.312132,2026-02-11 07:19:54.312132
12,308,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,pending,2026-05-12 00:40:43.312132,
13,26,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-05-15 18:15:29.312132,2026-05-15 21:15:29.312132
14,364,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2026-06-01 20:47:02.312132,2026-06-03 20:47:02.312132
15,488,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,disputed,2025-08-25 22:33:00.312132,2025-08-27 16:33:00.312132
16,247,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-10-12 15:31:49.312132,2025-10-12 16:31:49.312132
17,483,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,pending,2025-11-05 05:57:36.312132,
18,157,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-05-09 11:51:54.312132,2026-05-10 03:51:54.312132
19,433,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-05-03 13:59:52.312132,2026-05-04 17:59:52.312132
20,117,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,pending,2025-08-14 00:01:30.312132,
21,33,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-09-16 06:45:50.312132,2025-09-16 09:45:50.312132
22,168,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-09-11 03:41:22.312132,2025-09-12 10:41:22.312132
23,284,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-08-10 07:03:49.312132,2025-08-10 21:03:49.312132
24,180,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-04-02 04:11:07.312132,2026-04-03 16:11:07.312132
25,439,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,disputed,2026-01-03 11:01:08.312132,2026-01-04 17:01:08.312132
26,175,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,disputed,2026-01-29 16:42:20.312132,2026-01-30 09:42:20.312132
27,266,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-10-09 02:10:22.312132,2025-10-09 14:10:22.312132
28,209,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,disputed,2025-09-11 14:43:51.312132,2025-09-12 06:43:51.312132
29,15,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-04-10 05:51:25.312132,2026-04-11 03:51:25.312132
30,283,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-07-13 22:05:30.312132,2026-07-14 23:05:30.312132
31,420,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-03-25 17:30:34.312132,2026-03-27 16:30:34.312132
32,293,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,disputed,2025-10-20 23:11:23.312132,2025-10-21 21:11:23.312132
33,171,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-11-01 22:37:34.312132,2025-11-03 13:37:34.312132
34,308,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-04-30 15:31:27.312132,2026-04-30 20:31:27.312132
35,268,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-10-21 15:56:12.312132,2025-10-21 20:56:12.312132
36,294,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2026-02-24 20:24:59.312132,2026-02-24 23:24:59.312132
37,353,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-06-30 03:44:54.312132,2026-07-01 19:44:54.312132
38,179,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-07-09 12:49:57.312132,2026-07-10 19:49:57.312132
39,85,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,disputed,2026-07-12 18:13:16.312132,2026-07-13 06:13:16.312132
40,363,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-10-29 12:50:50.312132,2025-10-30 23:50:50.312132
41,78,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-11-06 11:02:35.312132,2025-11-07 02:02:35.312132
42,413,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-09-10 03:37:33.312132,2025-09-11 20:37:33.312132
43,271,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,pending,2025-09-24 20:39:14.312132,
44,165,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-04-08 05:09:45.312132,2026-04-09 21:09:45.312132
45,53,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-11-01 11:33:19.312132,2025-11-03 02:33:19.312132
46,425,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,pending,2025-08-19 02:56:51.312132,
47,324,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-10-14 17:13:39.312132,2025-10-14 23:13:39.312132
48,101,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,disputed,2025-08-21 09:57:32.312132,2025-08-23 09:57:32.312132
49,411,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,disputed,2026-05-25 05:38:42.312132,2026-05-26 17:38:42.312132
50,432,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,disputed,2025-08-16 09:08:43.312132,2025-08-17 06:08:43.312132
51,405,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-10-02 04:55:22.312132,2025-10-03 03:55:22.312132
52,9,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,pending,2026-07-09 12:46:36.312132,
53,454,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-06-16 22:46:43.312132,2026-06-18 08:46:43.312132
54,140,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,pending,2025-12-16 11:22:35.312132,
55,246,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,pending,2026-03-05 08:11:40.312132,
56,226,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-08-25 12:27:06.312132,2025-08-25 18:27:06.312132
57,362,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,pending,2026-05-15 06:41:00.312132,
58,298,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,pending,2026-03-29 20:22:11.312132,
59,242,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2026-07-19 22:24:46.312132,2026-07-21 16:24:46.312132
60,179,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,disputed,2026-06-08 05:39:47.312132,2026-06-08 09:39:47.312132
61,210,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-11-06 08:37:27.312132,2025-11-08 07:37:27.312132
62,329,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-09-29 15:21:08.312132,2025-09-30 08:21:08.312132
63,227,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-05-26 09:12:49.312132,2026-05-28 01:12:49.312132
64,415,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-05-03 20:27:06.312132,2026-05-03 21:27:06.312132
65,360,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-11-08 19:38:49.312132,2025-11-10 14:38:49.312132
66,249,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-04-24 04:43:28.312132,2026-04-24 17:43:28.312132
67,139,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-01-16 05:03:46.312132,2026-01-17 12:03:46.312132
68,364,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-01-17 20:04:59.312132,2026-01-19 01:04:59.312132
69,449,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-07-23 06:18:44.312132,2026-07-23 19:18:44.312132
70,82,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-09-24 17:38:34.312132,2025-09-26 11:38:34.312132
71,237,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2026-07-11 03:38:04.312132,2026-07-11 18:38:04.312132
72,23,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-02-01 17:21:12.312132,2026-02-02 08:21:12.312132
73,504,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-07-24 09:20:44.312132,2026-07-25 10:20:44.312132
74,15,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,disputed,2026-05-05 00:35:30.312132,2026-05-05 03:35:30.312132
75,172,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,pending,2026-07-26 10:32:56.312132,
76,259,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,pending,2026-07-06 17:13:27.312132,
77,36,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-06-29 05:58:11.312132,2026-06-30 09:58:11.312132
78,92,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-06-28 06:10:56.312132,2026-06-29 01:10:56.312132
79,302,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,pending,2026-03-15 10:02:35.312132,
80,213,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2025-08-18 15:25:13.312132,2025-08-20 02:25:13.312132
81,482,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-05-13 17:37:18.312132,2026-05-14 06:37:18.312132
82,26,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-11-02 13:37:02.312132,2025-11-04 08:37:02.312132
83,395,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,pending,2026-08-03 03:16:30.312132,
84,244,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-07-24 12:49:39.312132,2026-07-26 00:49:39.312132
85,97,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-07-22 02:07:25.312132,2026-07-22 16:07:25.312132
86,114,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,disputed,2025-09-26 06:46:02.312132,2025-09-26 20:46:02.312132
87,312,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-03-22 11:13:02.312132,2026-03-24 08:13:02.312132
