id,user_id,vin,plate_number,vehicle_model,vehicle_year,mileage,vehicle_type,vehicle_make
1,200,VIN00000000000001,ABC0001,Porter,2019,5000.00,Sedan,Hyundai
2,201,VIN00000000000002,ABC0002,Corolla Altis,2012,5113.00,SUV,Toyota
3,202,VIN00000000000003,ABC0003,Vios,1998,5226.00,Pickup,Toyota
4,203,VIN00000000000004,ABC0004,Hi-Ace,2020,5339.00,Van,Toyota
5,204,VIN00000000000005,ABC0005,Vois,2007,5452.00,Hatchback,Toyota
6,205,VIN00000000000006,ABC0006,Xpander,2020,5565.00,Crossover,Mitsubishi
7,206,VIN00000000000007,ABC0007,Mirage,2000,5678.00,Sedan,Mitsubishi
8,207,VIN00000000000008,ABC0008,L300,2000,5791.00,SUV,Mitsubishi
9,208,VIN00000000000009,ABC0009,Avanza,2016,5904.00,Pickup,Toyota
10,209,VIN00000000000010,ABC0010,Altis,2019,6017.00,Van,Toyota
11,210,VIN00000000000011,ABC0011,Wigo,2004,6130.00,Hatchback,Toyota
12,211,VIN00000000000012,ABC0012,Mirage G4,2016,6243.00,Crossover,Mitsubishi
13,212,VIN00000000000013,ABC0013,Innova,2004,6356.00,Sedan,Toyota
14,213,VIN00000000000014,ABC0014,BR-V,2025,6469.00,SUV,Honda
15,214,VIN00000000000015,ABC0015,Montero,2001,6582.00,Pickup,Mitsubishi
16,215,VIN00000000000016,ABC0016,Jazz,1998,6695.00,Van,Honda
17,216,VIN00000000000017,ABC0017,Hilux,2024,6808.00,Hatchback,Toyota
18,217,VIN00000000000018,ABC0018,Xtrail,2006,6921.00,Crossover,Nissan
19,218,VIN00000000000019,ABC0019,Vios,2018,7034.00,Sedan,Toyota
20,219,VIN00000000000020,ABC0020,Vios,2005,7147.00,SUV,Toyota
21,220,VIN00000000000021,ABC0021,Corolla Altis,1997,7260.00,Pickup,Toyota
22,221,VIN00000000000022,ABC0022,City,1999,7373.00,Van,Honda
23,222,VIN00000000000023,ABC0023,Jazz,2012,7486.00,Hatchback,Honda
24,223,VIN00000000000024,ABC0024,Pajero,2023,7599.00,Crossover,Mitsubishi
25,224,VIN00000000000025,ABC0025,Sorento,2021,7712.00,Sedan,Kia
26,225,VIN00000000000026,ABC0026,Altis,2016,7825.00,SUV,Toyota
27,226,VIN00000000000027,ABC0027,Innova,1998,7938.00,Pickup,Toyota
28,227,VIN00000000000028,ABC0028,Navara,2012,8051.00,Van,Nissan
29,228,VIN00000000000029,ABC0029,Hilux,2024,8164.00,Hatchback,Toyota
30,229,VIN00000000000030,ABC0030,Hilux,2021,8277.00,Crossover,Toyota
31,230,VIN00000000000031,ABC0031,Avanza,2019,8390.00,Sedan,Toyota
32,231,VIN00000000000032,ABC0032,Sorento,2021,8503.00,SUV,Kia
33,232,VIN00000000000033,ABC0033,Hiace,2018,8616.00,Pickup,Toyota
34,233,VIN00000000000034,ABC0034,K2500,2024,8729.00,Van,Kia
35,234,VIN00000000000035,ABC0035,EcoSport,2006,8842.00,Hatchback,Ford
