id,name,cost_in_points,image_url
1,Free Oil Change,500,https://storage.shop.com/rewards/item_1.jpg
2,10% Off Next Service,300,https://storage.shop.com/rewards/item_2.jpg
3,Free Interior Detailing,400,https://storage.shop.com/rewards/item_3.jpg
4,Free Multi-Point Inspection,150,https://storage.shop.com/rewards/item_4.jpg
5,Free Wiper Blades,200,https://storage.shop.com/rewards/item_5.jpg
6,500 PHP Discount,250,https://storage.shop.com/rewards/item_6.jpg
7,Free Engine Wash,350,https://storage.shop.com/rewards/item_7.jpg
8,Loyalty Mug,100,https://storage.shop.com/rewards/item_8.jpg
9,Premium Air Freshener,50,https://storage.shop.com/rewards/item_9.jpg
10,Free Brake Fluid Flush,450,https://storage.shop.com/rewards/item_10.jpg
