id,job_order_id,section_id,task_title,note,task_status,completed_at,price,billable,scheduled_date,mechanic_id,estimated_finish
1,513,quotation,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
2,245,inspecting,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
3,325,received,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
4,396,inspecting,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
5,430,in_progress,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
6,512,inspecting,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
7,444,quotation,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
8,334,complete,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
9,451,inspecting,Check fluid levels,Auto-generated task note based on service history.,completed,2025-09-20 07:44:03.312132,,True,,,
10,246,received,Final check,Auto-generated task note based on service history.,completed,2026-05-04 03:30:08.312132,,True,,,
11,365,in_progress,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
12,350,quotation,Finalize quotation,Auto-generated task note based on service history.,completed,2026-02-21 18:20:49.312132,,True,,,
13,502,received,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
14,243,in_progress,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-02-24 00:24:40.312132,,True,,,
15,361,received,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
16,105,inspecting,Finalize quotation,Auto-generated task note based on service history.,completed,2026-03-01 23:17:02.312132,,True,,,
17,227,in_progress,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
18,251,complete,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
19,176,received,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
20,167,in_progress,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
21,349,in_progress,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
22,250,in_progress,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-06-23 03:01:42.312132,,True,,,
23,351,complete,Final check,Auto-generated task note based on service history.,completed,2026-07-03 13:15:12.312132,,True,,,
24,312,in_progress,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
25,501,received,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
26,319,in_progress,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
27,81,inspecting,Check fluid levels,Auto-generated task note based on service history.,completed,2026-03-18 03:36:13.312132,,True,,,
28,113,in_progress,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
29,63,inspecting,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
30,20,inspecting,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
31,47,in_progress,Check fluid levels,Auto-generated task note based on service history.,completed,2026-02-14 19:23:50.312132,,True,,,
32,43,quotation,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
33,510,received,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
34,491,complete,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
35,281,received,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
