job_order_id,part_name,base_name,tier,is_oem,category,quantity,unit,unit_price,total,include,is_synthetic
1,Synchronizer Gear,Synchronizer Gear,replacement,False,General,1.0,pc,6000.00,6000.00,True,False
1,Third Gear,Third Gear,replacement,False,General,1.0,pc,6000.00,6000.00,True,False
1,"Shaft Fork, Third Gear","Shaft Fork, Third Gear",replacement,False,General,1.0,pc,6500.00,6500.00,True,False
1,Gear / Differential Oil,Gear / Differential Oil,standard,False,Fluids & Consumables,5.0,liter,650.00,3250.00,True,False
2,Pressure Plate,Pressure Plate,replacement,False,Transmission,1.0,pc,3500.00,3500.00,True,False
2,Clutch Disc,Clutch Disc,replacement,False,Transmission,1.0,pc,4200.00,4200.00,True,False
2,Release Brng.,Release Brng.,replacement,False,General,1.0,pc,1200.00,1200.00,True,False
4,Timing Chain,Timing Chain,replacement,False,Engine,1.0,pc,13500.00,13500.00,True,False
4,Injector Damper,Injector Damper,replacement,False,General,1.0,pc,350.00,350.00,True,False
4,Crankshaft Pulley,Crankshaft Pulley,replacement,False,General,1.0,pc,0.00,3500.00,True,False
4,Tensioner,Tensioner,replacement,False,General,1.0,pc,0.00,2500.00,True,False
4,Valve Cover Gasket,Valve Cover Gasket,replacement,False,Engine,1.0,pc,0.00,1800.00,True,False
5,Valve Seal,Valve Seal,replacement,False,General,16.0,pc,120.00,1920.00,True,False
5,Cylinder Head Gasket,Cylinder Head Gasket,replacement,False,Engine,1.0,pc,1800.00,1800.00,True,False
5,Engine Coolant,Engine Coolant,standard,False,Fluids & Consumables,8.0,liter,175.00,1400.00,True,False
5,Rack and Pinion Kit,Rack and Pinion Kit,replacement,False,General,1.0,pc,3500.00,3500.00,True,False
5,Steering Pump Kit,Steering Pump Kit,replacement,False,General,1.0,pc,1200.00,1200.00,True,False
5,Sealing Fluid,Sealing Fluid,replacement,False,General,1.0,pc,450.00,450.00,True,False
6,Silicone,Silicone,replacement,False,General,1.0,pc,250.00,250.00,True,False
7,Aircon Parts,Aircon Parts,replacement,False,General,1.0,pc,21600.00,21600.00,True,False
7,Mechanical Parts,Mechanical Parts,replacement,False,General,1.0,pc,71000.00,71000.00,True,False
8,Carbon Brush,Carbon Brush,replacement,False,General,1.0,pc,1000.00,1000.00,True,False
8,Solenoid Switch,Solenoid Switch,replacement,False,General,1.0,pc,2200.00,2200.00,True,False
9,Intercooler Hose (oil),Intercooler Hose (oil),replacement,False,General,1.0,pc,6800.00,6800.00,True,False
10,Timing Belt,Timing Belt,replacement,False,Engine,1.0,pc,3000.00,3000.00,True,False
10,Tensioner Timing Belt,Tensioner Timing Belt,replacement,False,General,1.0,pc,3300.00,3300.00,True,False
10,Tensioner Adjuster,Tensioner Adjuster,replacement,False,General,1.0,pc,2450.00,2450.00,True,False
10,Crankshaft Oil Seal,Crankshaft Oil Seal,replacement,False,Engine,1.0,pc,450.00,450.00,True,False
10,Camshaft Oil Seal,Camshaft Oil Seal,replacement,False,Engine,1.0,pc,450.00,450.00,True,False
10,Drive / Fan Belt,Drive / Fan Belt,replacement,False,Engine,1.0,pc,1250.00,1250.00,True,False
10,Water Pump,Water Pump,replacement,False,Engine Cooling,1.0,pc,3500.00,3500.00,True,False
10,Water Coolant,Water Coolant,replacement,False,General,6.0,pc,175.00,1050.00,True,False
10,Coolant Bypass Hose / Tube,Coolant Bypass Hose / Tube,replacement,False,Engine Cooling,1.0,pc,2800.00,2800.00,True,False
10,Alternator,Alternator,replacement,False,Ignition & Electrical,1.0,pc,1000.00,1000.00,True,False
11,Pressure Plate,Pressure Plate,replacement,False,Transmission,1.0,pc,3300.00,3300.00,True,False
11,Clutch Disc,Clutch Disc,replacement,False,Transmission,1.0,pc,3100.00,3100.00,True,False
11,Release Bearing,Release Bearing,replacement,False,Transmission,1.0,pc,1250.00,1250.00,True,False
11,Set Oil Seal,Set Oil Seal,replacement,False,General,1.0,pc,1700.00,1700.00,True,False
11,Pilot Bearing,Pilot Bearing,replacement,False,Transmission,1.0,pc,250.00,250.00,True,False
12,Pressure Plate,Pressure Plate,replacement,False,Transmission,1.0,pc,3500.00,3500.00,True,False
12,Clutch Disc,Clutch Disc,replacement,False,Transmission,1.0,pc,3300.00,3300.00,True,False
12,Release Bearing,Release Bearing,replacement,False,Transmission,1.0,pc,1250.00,1250.00,True,False
12,Oil Seal,Oil Seal,replacement,False,General,1.0,pc,1300.00,1300.00,True,False
14,Wheel Bearing,Wheel Bearing,replacement,False,Steering & Suspension,2.0,pc,1800.00,3600.00,True,False
14,Oil Filter,Oil Filter,replacement,False,Filters,1.0,pc,350.00,350.00,True,False
14,Cabin Filter,Cabin Filter,replacement,False,Filters,1.0,pc,450.00,450.00,True,False
14,Air Filter,Air Filter,replacement,False,Filters,1.0,pc,450.00,450.00,True,False
14,Brake Cleaner,Brake Cleaner,standard,False,Fluids & Consumables,1.0,liter,250.00,250.00,True,False
14,Suspension Bushing,Suspension Bushing,replacement,False,Steering & Suspension,2.0,pc,650.00,1300.00,True,False
14,Brake Pads,Brake Pads,replacement,False,Braking,1.0,pc,1700.00,1700.00,True,False
15,Timing Belt,Timing Belt,replacement,False,Engine,1.0,pc,3000.00,3000.00,True,False
15,Tensioner Timing Belt,Tensioner Timing Belt,replacement,False,General,1.0,pc,3300.00,3300.00,True,False
15,Transmission Adjuster,Transmission Adjuster,replacement,False,General,1.0,pc,450.00,450.00,True,False
15,Camshaft,Camshaft,replacement,False,General,1.0,pc,450.00,450.00,True,False
15,Drive / Fan Belt,Drive / Fan Belt,replacement,False,Engine,1.0,pc,1250.00,1250.00,True,False
15,Water Pump,Water Pump,replacement,False,Engine Cooling,1.0,pc,3500.00,3500.00,True,False
15,Engine Coolant,Engine Coolant,standard,False,Fluids & Consumables,6.0,liter,175.00,1050.00,True,False
16,Pressure Plate,Pressure Plate,replacement,False,Transmission,1.0,pc,5800.00,5800.00,True,False
16,Clutch Disc,Clutch Disc,replacement,False,Transmission,1.0,pc,4600.00,4600.00,True,False
16,Release Bearing,Release Bearing,replacement,False,Transmission,1.0,pc,2550.00,2550.00,True,False
16,Md Canl Cat,Md Canl Cat,replacement,False,General,1.0,pc,2000.00,2000.00,True,False
16,Pilot Bearing,Pilot Bearing,replacement,False,Transmission,1.0,pc,350.00,350.00,True,False
17,Engine Oil,Engine Oil,standard,False,Fluids & Consumables,4.0,liter,400.00,1600.00,True,False
17,Oil Filter,Oil Filter,replacement,False,Filters,1.0,pc,350.00,350.00,True,False
18,Engine Oil,Engine Oil,standard,False,Fluids & Consumables,8.0,liter,450.00,3600.00,True,False
18,Tie Rod End,Tie Rod End,replacement,False,Steering & Suspension,2.0,pc,1200.00,2400.00,True,False
18,Tie Rod End,Tie Rod End,replacement,False,Steering & Suspension,2.0,pc,1250.00,2500.00,True,False
18,Clutch Slave Cylinder,Clutch Slave Cylinder,replacement,False,Transmission,1.0,pc,500.00,500.00,True,False
18,Brake Pads,Brake Pads,replacement,False,Braking,1.0,pc,2000.00,2000.00,True,False
18,Brake Shoe,Brake Shoe,replacement,False,Braking,1.0,pc,2500.00,2500.00,True,False
18,Cabin Filter,Cabin Filter,replacement,False,Filters,1.0,pc,550.00,550.00,True,False
18,Air Filter,Air Filter,replacement,False,Filters,1.0,pc,750.00,750.00,True,False
18,Fuel Filter,Fuel Filter,replacement,False,Filters,1.0,pc,850.00,850.00,True,False
18,Oil Filter,Oil Filter,replacement,False,Filters,1.0,pc,650.00,650.00,True,False
18,Engine Coolant,Engine Coolant,standard,False,Fluids & Consumables,8.0,liter,175.00,1400.00,True,False
