id,job_order_id,mechanic_notes,customer_approval_status,datetime_created,datetime_approved
1,323,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,disputed,2025-09-01 11:16:06.293298,2025-09-02 08:16:06.293298
2,155,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2025-08-23 19:33:09.293298,2025-08-25 03:33:09.293298
3,306,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-06-10 06:14:11.293298,2026-06-10 22:14:11.293298
4,263,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2025-12-08 13:17:59.293298,2025-12-09 22:17:59.293298
5,440,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2025-08-18 23:45:01.293298,2025-08-19 06:45:01.293298
6,165,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2025-12-24 03:26:50.293298,2025-12-26 01:26:50.293298
7,289,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-01-17 11:14:09.293298,2026-01-19 05:14:09.293298
8,35,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,pending,2025-11-09 23:58:17.293298,
9,343,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,pending,2025-11-18 15:09:20.293298,
10,294,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,approved,2026-06-01 15:48:36.293298,2026-06-02 22:48:36.293298
11,94,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,pending,2025-10-07 22:39:49.293298,
12,106,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-05-30 22:50:08.293298,2026-06-01 01:50:08.293298
13,91,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,pending,2025-12-06 18:17:16.293298,
14,412,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2026-06-06 13:02:26.293298,2026-06-07 16:02:26.293298
15,29,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-12-21 06:12:30.293298,2025-12-22 23:12:30.293298
16,500,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2025-08-08 09:04:46.293298,2025-08-09 17:04:46.293298
17,487,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,approved,2025-09-29 00:27:02.293298,2025-09-29 07:27:02.293298
18,170,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2026-02-09 07:06:05.293298,2026-02-10 02:06:05.293298
19,37,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2026-06-11 18:09:09.293298,2026-06-13 10:09:09.293298
20,185,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-05-20 20:06:52.293298,2026-05-22 20:06:52.293298
21,354,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,disputed,2026-01-17 00:54:49.293298,2026-01-18 09:54:49.293298
22,474,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-12-15 03:48:14.293298,2025-12-16 12:48:14.293298
23,356,Battery failed load test (reading 9.5V under load). Alternator charging output is good at 14.2V.,approved,2025-08-06 14:34:52.293298,2025-08-08 11:34:52.293298
24,408,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,pending,2026-05-14 09:20:03.293298,
25,307,Engine oil leak traced to the valve cover gasket. Spark plug wells show oil pooling.,approved,2026-05-26 07:22:30.293298,2026-05-27 20:22:30.293298
26,271,Scan tool indicates P0420 (Catalytic Converter Efficiency). O2 sensors are reading within normal range; suspect cat failure.,approved,2026-03-04 22:17:49.293298,2026-03-05 16:17:49.293298
27,427,Customer complaint of clunking over bumps verified. Found excessive play in front sway bar links and passenger tie rod.,disputed,2026-06-03 08:31:37.293298,2026-06-03 21:31:37.293298
28,105,Visual inspection shows severe wear on front brake pads (2mm remaining). Rotors require resurfacing.,pending,2026-04-05 05:31:55.293298,
