id,job_order_id,coverage_description,start_date,expiration_date,status
1,133,1-year comprehensive warranty on engine overhaul labor and parts.,2025-10-10,2026-10-10,active
2,285,30-day limited warranty on workmanship and minor adjustments.,2026-02-23,2026-03-25,expired
3,384,1-year comprehensive warranty on engine overhaul labor and parts.,2026-03-02,2026-08-29,nearing_expiration
4,477,6-month warranty on air conditioning compressor and freon leaks.,2026-07-22,2027-01-18,active
5,92,90-day warranty on replaced suspension components.,2025-11-16,2026-05-15,claimed
6,12,90-day warranty on replaced suspension components.,2026-03-29,2027-03-29,active
7,339,1-year comprehensive warranty on engine overhaul labor and parts.,2025-10-16,2026-01-14,expired
8,142,90-day warranty on replaced suspension components.,2026-06-26,2026-07-26,expired
9,64,6-month warranty on air conditioning compressor and freon leaks.,2026-05-09,2026-11-05,active
10,516,90-day warranty on replaced suspension components.,2026-07-18,2026-10-16,active
11,347,90-day warranty on replaced suspension components.,2026-02-23,2026-03-25,expired
12,20,1-year warranty on all installed electrical parts and wiring.,2026-03-28,2027-03-28,active
13,239,6-month warranty on air conditioning compressor and freon leaks.,2026-07-25,2027-07-25,active
14,325,90-day warranty on replaced suspension components.,2026-03-02,2026-05-31,expired
15,417,6-month warranty on air conditioning compressor and freon leaks.,2026-01-19,2026-04-19,expired
16,477,30-day limited warranty on workmanship and minor adjustments.,2026-07-22,2026-10-20,active
17,24,30-day limited warranty on workmanship and minor adjustments.,2025-12-30,2026-01-29,expired
18,208,1-year comprehensive warranty on engine overhaul labor and parts.,2025-12-19,2026-12-19,active
19,129,30-day limited warranty on workmanship and minor adjustments.,2026-06-07,2027-06-07,claimed
20,166,6-month warranty on air conditioning compressor and freon leaks.,2026-05-18,2026-06-17,claimed
21,263,1-year warranty on all installed electrical parts and wiring.,2026-08-06,2027-08-06,active
22,75,90-day warranty on replaced suspension components.,2026-01-06,2026-07-05,expired
23,43,30-day limited warranty on workmanship and minor adjustments.,2025-11-03,2026-11-03,active
24,186,6-month warranty on air conditioning compressor and freon leaks.,2025-12-21,2026-01-20,expired
25,238,1-year warranty on all installed electrical parts and wiring.,2026-05-31,2026-11-27,active
26,159,30-day limited warranty on workmanship and minor adjustments.,2025-12-29,2026-01-28,expired
27,159,6-month warranty on air conditioning compressor and freon leaks.,2025-12-29,2026-03-29,expired
28,1,1-year comprehensive warranty on engine overhaul labor and parts.,2026-01-19,2027-01-19,active
29,446,1-year comprehensive warranty on engine overhaul labor and parts.,2025-10-19,2026-01-17,expired
30,181,1-year warranty on all installed electrical parts and wiring.,2025-09-05,2026-03-04,expired
31,24,6-month warranty on air conditioning compressor and freon leaks.,2025-12-30,2026-03-30,expired
32,172,6-month warranty on air conditioning compressor and freon leaks.,2025-12-20,2026-01-19,claimed
33,126,1-year warranty on all installed electrical parts and wiring.,2025-10-25,2025-11-24,claimed
34,434,6-month warranty on air conditioning compressor and freon leaks.,2025-08-20,2025-11-18,expired
35,334,1-year comprehensive warranty on engine overhaul labor and parts.,2026-07-03,2026-12-30,active
36,471,90-day warranty on replaced suspension components.,2026-05-28,2027-05-28,active
37,275,6-month warranty on air conditioning compressor and freon leaks.,2026-05-31,2027-05-31,active
38,75,1-year comprehensive warranty on engine overhaul labor and parts.,2026-01-06,2026-04-06,expired
39,502,1-year warranty on all installed electrical parts and wiring.,2026-07-26,2027-01-22,voided
40,34,90-day warranty on replaced suspension components.,2026-08-03,2027-08-03,active
41,181,30-day limited warranty on workmanship and minor adjustments.,2025-09-05,2025-12-04,expired
42,201,30-day limited warranty on workmanship and minor adjustments.,2025-09-16,2025-10-16,expired
43,24,1-year warranty on all installed electrical parts and wiring.,2025-12-30,2026-01-29,expired
44,362,6-month warranty on air conditioning compressor and freon leaks.,2026-03-15,2027-03-15,active
45,451,90-day warranty on replaced suspension components.,2025-12-22,2026-06-20,claimed
46,409,30-day limited warranty on workmanship and minor adjustments.,2025-10-10,2026-01-08,claimed
47,411,6-month warranty on air conditioning compressor and freon leaks.,2025-10-23,2025-11-22,voided
48,212,6-month warranty on air conditioning compressor and freon leaks.,2026-02-02,2026-08-01,expired
49,387,1-year warranty on all installed electrical parts and wiring.,2026-05-05,2026-08-03,claimed
50,363,1-year comprehensive warranty on engine overhaul labor and parts.,2025-11-30,2025-12-30,expired
51,139,30-day limited warranty on workmanship and minor adjustments.,2026-01-03,2026-04-03,expired
52,142,30-day limited warranty on workmanship and minor adjustments.,2026-06-26,2026-12-23,active
53,102,90-day warranty on replaced suspension components.,2025-11-12,2026-05-11,expired
54,499,1-year warranty on all installed electrical parts and wiring.,2026-04-15,2026-10-12,claimed
55,125,1-year comprehensive warranty on engine overhaul labor and parts.,2026-04-06,2026-07-05,expired
56,31,30-day limited warranty on workmanship and minor adjustments.,2026-04-24,2026-05-24,expired
57,503,90-day warranty on replaced suspension components.,2026-07-02,2027-07-02,active
58,484,1-year warranty on all installed electrical parts and wiring.,2026-05-18,2026-06-17,expired
59,446,6-month warranty on air conditioning compressor and freon leaks.,2025-10-19,2025-11-18,claimed
60,477,90-day warranty on replaced suspension components.,2026-07-22,2026-08-21,nearing_expiration
61,76,1-year comprehensive warranty on engine overhaul labor and parts.,2026-05-05,2027-05-05,active
62,122,1-year warranty on all installed electrical parts and wiring.,2026-03-20,2027-03-20,claimed
63,66,1-year warranty on all installed electrical parts and wiring.,2025-08-21,2025-09-20,expired
64,181,1-year warranty on all installed electrical parts and wiring.,2025-09-05,2025-10-05,expired
65,331,90-day warranty on replaced suspension components.,2025-09-18,2026-09-18,active
66,178,90-day warranty on replaced suspension components.,2025-12-19,2026-06-17,expired
67,263,90-day warranty on replaced suspension components.,2026-08-06,2027-02-02,active
68,128,1-year comprehensive warranty on engine overhaul labor and parts.,2026-01-19,2026-02-18,expired
69,451,90-day warranty on replaced suspension components.,2025-12-22,2026-03-22,expired
70,468,6-month warranty on air conditioning compressor and freon leaks.,2026-03-23,2027-03-23,active
71,32,6-month warranty on air conditioning compressor and freon leaks.,2026-06-29,2027-06-29,active
72,338,1-year warranty on all installed electrical parts and wiring.,2026-07-19,2027-07-19,active
73,452,1-year comprehensive warranty on engine overhaul labor and parts.,2025-09-11,2026-03-10,expired
74,476,30-day limited warranty on workmanship and minor adjustments.,2026-07-28,2026-10-26,active
75,131,1-year warranty on all installed electrical parts and wiring.,2026-06-12,2026-09-10,active
