id,job_order_id,supplier_id,description_of_work,date_informed,date_started,date_ended,supplier_cost,retail_price
1,106,1,Cylinder head resurfacing and valve seat grinding,2026-07-17 02:35:38.293298,2026-07-17 07:35:38.293298,2026-07-17 09:35:38.293298,3475.30,4533.15
2,92,3,Rebuild of automatic transmission assembly,2026-07-11 02:35:38.293298,2026-07-11 10:35:38.293298,2026-07-12 08:35:38.293298,2161.16,3047.67
3,258,5,Reprogramming of Engine Control Unit (ECU),2026-07-08 02:35:38.293298,2026-07-08 18:35:38.293298,2026-07-10 07:35:38.293298,7490.61,11177.49
4,186,8,Specialized aluminum welding on engine block,2026-07-26 02:35:38.293298,2026-07-26 23:35:38.293298,2026-07-28 18:35:38.293298,9518.01,13963.52
5,272,1,Fabrication of custom exhaust piping,2026-06-19 02:35:38.293298,2026-06-19 12:35:38.293298,2026-06-20 14:35:38.293298,3098.95,4073.66
6,123,1,Deep cleaning and detailing of vehicle interior,2026-06-10 02:35:38.293298,2026-06-10 11:35:38.293298,2026-06-12 11:35:38.293298,2336.70,3278.21
7,496,6,Calibration of diesel fuel injectors,2026-06-12 02:35:38.293298,2026-06-12 11:35:38.293298,2026-06-12 18:35:38.293298,9437.69,12873.71
8,149,1,Replacement of shattered rear windshield,2026-06-29 02:35:38.293298,2026-06-29 12:35:38.293298,2026-07-01 11:35:38.293298,7885.70,11574.81
9,166,1,Bake oven painting of front bumper,2026-07-31 02:35:38.293298,2026-07-31 23:35:38.293298,,9337.12,13332.00
10,364,6,Upholstery repair for driver seat leather,2026-07-20 02:35:38.293298,,,3086.13,4242.14
