id,oem_part_number,brand,part_category,part_name,is_oem,description
1,FOR-00001-46,Ford,Brakes,Brake Caliper,True,Premium quality brake caliper manufactured by Ford. Designed to meet or exceed original equipment specifications.
2,AIS-00002-50,Aisin,Filters,Oil Filter,False,Premium quality oil filter manufactured by Aisin. Designed to meet or exceed original equipment specifications.
3,NGK-00003-63,NGK,Filters,Cabin Air Filter,False,Premium quality cabin air filter manufactured by NGK. Designed to meet or exceed original equipment specifications.
4,DEN-00004-61,Denso,Filters,Air Filter,False,Premium quality air filter manufactured by Denso. Designed to meet or exceed original equipment specifications.
5,AIS-00005-45,Aisin,Electrical,Spark Plug,False,Premium quality spark plug manufactured by Aisin. Designed to meet or exceed original equipment specifications.
6,KYB-00006-90,KYB,Brakes,Brake Caliper,False,Premium quality brake caliper manufactured by KYB. Designed to meet or exceed original equipment specifications.
7,NGK-00007-18,NGK,Filters,Fuel Filter,False,Premium quality fuel filter manufactured by NGK. Designed to meet or exceed original equipment specifications.
8,MIT-00008-24,Mitsubishi,Transmission,Transmission Fluid Filter,True,Premium quality transmission fluid filter manufactured by Mitsubishi. Designed to meet or exceed original equipment specifications.
9,DEN-00009-54,Denso,Electrical,Starter Motor,False,Premium quality starter motor manufactured by Denso. Designed to meet or exceed original equipment specifications.
10,DEN-00010-54,Denso,Electrical,Starter Motor,False,Premium quality starter motor manufactured by Denso. Designed to meet or exceed original equipment specifications.
11,MIT-00011-38,Mitsubishi,Suspension,Control Arm,True,Premium quality control arm manufactured by Mitsubishi. Designed to meet or exceed original equipment specifications.
12,AIS-00012-81,Aisin,Transmission,CV Axle,False,Premium quality cv axle manufactured by Aisin. Designed to meet or exceed original equipment specifications.
13,AIS-00013-38,Aisin,Transmission,Flywheel,False,Premium quality flywheel manufactured by Aisin. Designed to meet or exceed original equipment specifications.
14,FOR-00014-38,Ford,Engine,Head Gasket,True,Premium quality head gasket manufactured by Ford. Designed to meet or exceed original equipment specifications.
15,KYB-00015-28,KYB,Suspension,Shock Absorber,False,Premium quality shock absorber manufactured by KYB. Designed to meet or exceed original equipment specifications.
