id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
1,319,4,"Found minor wear and tear during service, but within acceptable limits.",01:20:52,01:15:46,,,3276.99,3641.10
2,428,6,Replaced consumables and tested system. Everything is operating normally.,02:28:02,03:07:32,,,5221.13,5801.25
3,90,5,Replaced consumables and tested system. Everything is operating normally.,02:14:15,02:05:47,,,5551.78,6168.64
4,144,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:19:53,01:10:30,,,1385.53,1539.48
5,227,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:16:22,03:25:42,,,4079.02,4532.24
6,439,8,Replaced consumables and tested system. Everything is operating normally.,03:12:25,03:09:44,,,6722.92,7469.91
7,283,2,Performed standard service procedure as per manufacturer guidelines.,03:08:13,03:03:32,,,6721.34,7468.15
8,138,5,"Found minor wear and tear during service, but within acceptable limits.",01:54:22,01:54:00,,,954.55,1060.61
9,424,3,Replaced consumables and tested system. Everything is operating normally.,01:21:44,01:39:03,,,641.13,712.37
10,349,4,"Found minor wear and tear during service, but within acceptable limits.",01:04:41,01:04:55,,,5761.01,6401.12
11,212,4,"Found minor wear and tear during service, but within acceptable limits.",03:05:46,02:51:30,,,703.12,781.24
12,287,2,Performed standard service procedure as per manufacturer guidelines.,01:44:01,01:48:57,,,2112.56,2347.29
13,455,4,"Found minor wear and tear during service, but within acceptable limits.",02:39:31,02:29:31,,,3308.63,3676.26
14,132,4,Replaced consumables and tested system. Everything is operating normally.,01:02:01,01:25:18,,,1764.68,1960.75
15,65,1,"Found minor wear and tear during service, but within acceptable limits.",02:12:55,01:59:56,,,2039.13,2265.70
16,321,6,Performed standard service procedure as per manufacturer guidelines.,03:24:03,03:54:03,,,3757.63,4175.14
17,281,1,Service completed. Adjusted specifications to optimal levels.,02:00:52,01:50:07,,,919.63,1021.81
18,178,7,Service completed. Adjusted specifications to optimal levels.,02:32:56,02:34:54,,,6326.46,7029.40
19,255,1,Replaced consumables and tested system. Everything is operating normally.,03:02:30,02:51:40,,,7170.97,7967.74
20,321,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:53:06,04:16:40,,,3082.90,3425.44
21,47,7,Service completed. Adjusted specifications to optimal levels.,02:05:24,01:59:40,,,1682.78,1869.75
22,144,1,Replaced consumables and tested system. Everything is operating normally.,00:43:46,00:33:32,,,465.82,517.58
23,354,3,Performed standard service procedure as per manufacturer guidelines.,00:44:01,01:13:07,,,4086.94,4541.04
24,284,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:45:02,00:31:20,,,2331.59,2590.65
25,269,6,Service completed. Adjusted specifications to optimal levels.,02:33:33,02:31:03,,,7195.40,7994.89
26,507,7,Replaced consumables and tested system. Everything is operating normally.,01:39:55,01:34:57,,,3195.25,3550.28
27,105,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:30:06,03:34:55,,,1344.09,1493.43
28,495,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:56:10,02:54:55,,,3839.69,4266.32
29,411,3,Service completed. Adjusted specifications to optimal levels.,00:47:30,00:43:15,,,5053.57,5615.08
30,441,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:29:35,02:16:08,,,6758.18,7509.09
31,179,2,"Found minor wear and tear during service, but within acceptable limits.",02:45:11,02:35:00,,,1835.21,2039.12
32,408,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:45:31,03:09:09,,,4685.79,5206.43
33,94,3,Replaced consumables and tested system. Everything is operating normally.,02:32:21,02:50:12,,,6303.68,7004.09
34,286,4,Replaced consumables and tested system. Everything is operating normally.,01:11:40,01:34:11,,,4964.37,5515.97
35,355,5,Performed standard service procedure as per manufacturer guidelines.,03:38:40,03:55:50,,,3191.37,3545.97
36,400,4,Performed standard service procedure as per manufacturer guidelines.,03:42:44,03:31:48,,,3874.67,4305.19
37,161,3,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:40:48,01:54:18,,,3705.28,4116.98
38,115,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:38:12,03:13:21,,,5576.00,6195.55
39,81,3,Replaced consumables and tested system. Everything is operating normally.,00:55:42,00:54:32,,,4346.01,4828.90
40,88,5,Service completed. Adjusted specifications to optimal levels.,02:24:23,02:45:13,,,6121.57,6801.74
41,152,3,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:04:58,03:45:08,,,537.98,597.75
42,308,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:56:30,01:44:55,,,6155.56,6839.51
43,74,2,Performed standard service procedure as per manufacturer guidelines.,01:25:57,01:24:26,,,6912.62,7680.69
44,168,7,Performed standard service procedure as per manufacturer guidelines.,03:30:31,03:44:36,,,5942.66,6602.96
45,36,8,"Found minor wear and tear during service, but within acceptable limits.",02:19:43,02:24:59,,,3440.47,3822.74
46,169,8,"Found minor wear and tear during service, but within acceptable limits.",03:37:59,03:47:16,,,6645.15,7383.50
47,95,1,Replaced consumables and tested system. Everything is operating normally.,00:52:34,01:23:45,,,2824.02,3137.80
48,163,3,Performed standard service procedure as per manufacturer guidelines.,01:57:52,01:50:06,,,5563.95,6182.17
49,248,5,Performed standard service procedure as per manufacturer guidelines.,00:38:16,01:16:17,,,4231.45,4701.61
