id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
1,431,5,Service completed. Adjusted specifications to optimal levels.,02:44:38,02:58:42,,,7165.53,7961.70
2,27,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:58:31,01:19:29,,,911.55,1012.83
3,169,4,Performed standard service procedure as per manufacturer guidelines.,01:58:47,02:43:21,,,2567.30,2852.55
4,509,4,Replaced consumables and tested system. Everything is operating normally.,01:13:56,01:25:07,,,1414.57,1571.74
5,405,4,Replaced consumables and tested system. Everything is operating normally.,01:01:48,01:40:54,,,1895.23,2105.81
6,360,5,Service completed. Adjusted specifications to optimal levels.,03:27:12,03:15:23,,,6885.23,7650.26
7,347,8,"Found minor wear and tear during service, but within acceptable limits.",01:34:07,02:13:03,,,5180.52,5756.13
8,381,5,Performed standard service procedure as per manufacturer guidelines.,03:20:28,03:50:45,,,1833.79,2037.54
9,103,6,Replaced consumables and tested system. Everything is operating normally.,01:05:50,01:42:30,,,3189.63,3544.03
10,476,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:07:46,01:38:22,,,4879.61,5421.79
11,493,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:41:24,03:19:38,,,935.26,1039.18
12,436,2,Service completed. Adjusted specifications to optimal levels.,01:47:47,01:52:26,,,4833.21,5370.23
13,57,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:07:37,01:28:49,,,2568.43,2853.81
14,120,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:02:25,03:18:24,,,4120.40,4578.22
15,275,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:34:18,02:57:18,,,4571.90,5079.89
16,496,5,Replaced consumables and tested system. Everything is operating normally.,00:45:44,00:38:37,,,1384.07,1537.86
17,418,7,Performed standard service procedure as per manufacturer guidelines.,02:55:11,03:20:06,,,3255.17,3616.85
18,182,7,"Found minor wear and tear during service, but within acceptable limits.",01:39:31,02:11:31,,,3745.53,4161.70
19,423,3,Replaced consumables and tested system. Everything is operating normally.,02:00:30,02:28:28,,,1116.03,1240.03
20,164,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:17:18,02:18:01,,,4137.10,4596.78
21,107,1,Replaced consumables and tested system. Everything is operating normally.,02:17:58,02:12:42,,,2677.15,2974.61
22,467,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:51:31,03:33:47,,,5184.38,5760.42
23,187,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:30:28,01:21:20,,,3757.24,4174.71
24,415,5,Service completed. Adjusted specifications to optimal levels.,02:48:47,02:50:42,,,4595.31,5105.90
25,277,2,Service completed. Adjusted specifications to optimal levels.,02:44:04,03:12:33,,,1140.80,1267.55
26,230,8,Service completed. Adjusted specifications to optimal levels.,00:45:41,01:05:24,,,2982.38,3313.76
27,261,7,Performed standard service procedure as per manufacturer guidelines.,00:52:26,01:27:15,,,7164.95,7961.06
28,376,1,Replaced consumables and tested system. Everything is operating normally.,02:22:17,02:12:34,,,4318.70,4798.55
29,224,5,Service completed. Adjusted specifications to optimal levels.,01:20:07,01:56:32,,,4531.23,5034.70
30,89,8,"Found minor wear and tear during service, but within acceptable limits.",03:08:12,03:31:00,,,3466.50,3851.67
31,513,8,Service completed. Adjusted specifications to optimal levels.,00:32:23,00:39:29,,,4493.00,4992.22
32,291,2,Replaced consumables and tested system. Everything is operating normally.,02:49:16,03:22:20,,,2045.83,2273.14
33,81,5,Performed standard service procedure as per manufacturer guidelines.,03:42:45,03:56:45,,,1041.85,1157.61
34,481,8,Service completed. Adjusted specifications to optimal levels.,01:04:02,01:34:55,,,2209.28,2454.76
35,378,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:37:47,01:20:52,,,3030.27,3366.97
36,510,1,Service completed. Adjusted specifications to optimal levels.,03:06:18,02:58:24,,,4044.08,4493.42
37,307,5,Performed standard service procedure as per manufacturer guidelines.,02:26:05,02:23:03,,,1094.99,1216.66
38,52,5,Service completed. Adjusted specifications to optimal levels.,01:39:57,01:44:02,,,6905.48,7672.76
39,303,6,Replaced consumables and tested system. Everything is operating normally.,02:55:25,02:44:49,,,6393.08,7103.42
40,355,2,Service completed. Adjusted specifications to optimal levels.,03:00:58,03:28:07,,,683.34,759.27
41,386,5,Performed standard service procedure as per manufacturer guidelines.,01:37:29,02:18:11,,,5491.68,6101.87
42,85,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:52:52,01:07:35,,,7085.19,7872.43
43,15,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:41:44,03:55:21,,,5275.35,5861.50
44,327,2,Performed standard service procedure as per manufacturer guidelines.,01:45:31,01:46:46,,,4588.58,5098.42
45,7,8,Service completed. Adjusted specifications to optimal levels.,03:27:58,03:39:09,,,4289.23,4765.81
46,89,1,Replaced consumables and tested system. Everything is operating normally.,03:37:34,04:12:38,,,4102.28,4558.09
47,146,5,Replaced consumables and tested system. Everything is operating normally.,03:03:29,03:40:38,,,2044.72,2271.91
48,209,8,"Found minor wear and tear during service, but within acceptable limits.",02:23:11,03:03:47,,,2973.77,3304.19
49,53,7,Performed standard service procedure as per manufacturer guidelines.,01:37:47,01:24:26,,,5496.87,6107.63
50,31,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:31:53,03:09:39,,,5703.86,6337.62
51,83,4,"Found minor wear and tear during service, but within acceptable limits.",03:47:10,03:59:00,,,702.14,780.15
52,43,3,Service completed. Adjusted specifications to optimal levels.,02:00:21,02:07:04,,,4938.62,5487.36
53,299,6,Replaced consumables and tested system. Everything is operating normally.,03:18:29,03:35:59,,,6437.64,7152.93
54,462,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:24:42,03:26:21,,,1841.60,2046.22
55,258,8,Service completed. Adjusted specifications to optimal levels.,02:55:05,03:34:04,,,6217.68,6908.53
56,29,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:47:29,00:57:48,,,2335.54,2595.04
57,413,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:32:22,02:32:18,,,3969.89,4410.99
58,409,6,Service completed. Adjusted specifications to optimal levels.,01:36:15,01:56:56,,,3400.11,3777.90
59,103,8,Performed standard service procedure as per manufacturer guidelines.,03:46:48,04:04:43,,,3384.35,3760.39
60,182,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:19:44,02:38:50,,,3163.89,3515.43
61,241,2,Performed standard service procedure as per manufacturer guidelines.,02:28:56,02:14:07,,,5350.35,5944.83
62,89,1,"Found minor wear and tear during service, but within acceptable limits.",02:34:01,02:58:54,,,769.73,855.26
63,136,4,Replaced consumables and tested system. Everything is operating normally.,03:46:40,03:34:56,,,3887.89,4319.88
64,310,1,Replaced consumables and tested system. Everything is operating normally.,02:36:42,02:25:36,,,2837.74,3153.04
65,138,5,Performed standard service procedure as per manufacturer guidelines.,03:06:23,03:28:37,,,6452.96,7169.96
66,452,3,Service completed. Adjusted specifications to optimal levels.,02:23:43,02:08:55,,,745.69,828.54
67,467,8,Replaced consumables and tested system. Everything is operating normally.,02:07:13,02:09:39,,,4372.80,4858.67
68,337,3,Service completed. Adjusted specifications to optimal levels.,00:40:34,00:33:38,,,4789.89,5322.10
69,321,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:16:55,01:17:27,,,2804.43,3116.03
70,34,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:26:25,02:11:32,,,4421.57,4912.86
71,60,3,"Found minor wear and tear during service, but within acceptable limits.",01:41:32,02:13:25,,,5446.44,6051.60
72,312,7,Performed standard service procedure as per manufacturer guidelines.,00:53:54,01:03:31,,,6357.83,7064.26
73,225,2,"Found minor wear and tear during service, but within acceptable limits.",01:06:57,01:41:07,,,6433.66,7148.51
74,424,3,Performed standard service procedure as per manufacturer guidelines.,01:22:30,01:08:10,,,3288.80,3654.22
75,3,2,Performed standard service procedure as per manufacturer guidelines.,03:31:39,03:38:31,,,6188.55,6876.17
76,374,7,"Found minor wear and tear during service, but within acceptable limits.",02:00:40,02:35:56,,,4530.80,5034.22
77,403,6,Replaced consumables and tested system. Everything is operating normally.,02:06:00,02:01:35,,,939.23,1043.59
78,12,5,Replaced consumables and tested system. Everything is operating normally.,00:45:55,00:33:43,,,4770.50,5300.55
79,129,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:23:04,01:54:10,,,5680.52,6311.69
