id,job_order_id,supplier_id,description_of_work,date_informed,date_started,date_ended,supplier_cost,retail_price
1,478,6,Cylinder head resurfacing and valve seat grinding,2026-06-24 02:35:41.312132,2026-06-24 09:35:41.312132,2026-06-26 14:35:41.312132,9404.27,13347.84
2,132,2,Rebuild of automatic transmission assembly,2026-07-14 02:35:41.312132,2026-07-14 15:35:41.312132,2026-07-15 17:35:41.312132,5376.36,7174.96
3,487,10,Reprogramming of Engine Control Unit (ECU),2026-06-09 02:35:41.312132,2026-06-09 16:35:41.312132,2026-06-12 01:35:41.312132,1665.25,2491.92
4,401,2,Specialized aluminum welding on engine block,2026-07-13 02:35:41.312132,2026-07-13 04:35:41.312132,2026-07-14 01:35:41.312132,5597.83,8247.05
5,191,5,Fabrication of custom exhaust piping,2026-07-02 02:35:41.312132,2026-07-02 17:35:41.312132,2026-07-03 06:35:41.312132,7790.57,10958.59
6,287,9,Deep cleaning and detailing of vehicle interior,2026-08-02 02:35:41.312132,2026-08-02 09:35:41.312132,2026-08-02 18:35:41.312132,1751.44,2536.58
7,90,9,Calibration of diesel fuel injectors,2026-06-17 02:35:41.312132,2026-06-17 17:35:41.312132,2026-06-19 21:35:41.312132,6050.34,8685.52
8,168,9,Replacement of shattered rear windshield,2026-07-01 02:35:41.312132,2026-07-01 06:35:41.312132,2026-07-02 01:35:41.312132,5068.67,7083.92
9,383,4,Bake oven painting of front bumper,2026-06-11 02:35:41.312132,2026-06-11 12:35:41.312132,,4181.94,5550.59
10,185,1,Upholstery repair for driver seat leather,2026-06-16 02:35:41.312132,,,4234.92,5628.33
