id,job_order_id,name,notes,status,photo,findings_description,logged_date
1,217,,,,,All fluid levels are normal. Brake pads are at 40% life.,2025-09-30 10:55:40.293298
2,365,,,,,All fluid levels are normal. Brake pads are at 40% life.,2026-07-17 02:26:34.293298
3,202,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-12-09 11:03:13.293298
4,400,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2026-01-21 17:13:24.293298
5,185,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-08-05 17:23:50.293298
6,158,,,,,All fluid levels are normal. Brake pads are at 40% life.,2025-11-10 16:09:19.293298
7,382,,,,,No major issues found during standard multipoint inspection.,2025-11-09 10:15:28.293298
8,74,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-05-03 21:09:30.293298
9,46,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-08-29 09:36:16.293298
10,158,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2025-11-10 15:09:19.293298
11,210,,,,,No major issues found during standard multipoint inspection.,2026-01-31 16:33:17.293298
12,406,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-10-14 10:22:51.293298
13,177,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-04-30 15:05:20.293298
14,254,,,,,All fluid levels are normal. Brake pads are at 40% life.,2026-01-19 01:16:47.293298
15,292,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-05-20 03:54:36.293298
16,375,,,,,"Scanned for OBD2 codes. Found history code for O2 sensor, but currently not active.",2026-03-30 19:16:47.293298
17,284,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2026-05-28 19:33:07.293298
18,300,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2025-08-15 13:23:05.293298
19,157,,,,,Battery health is at 65%. Terminals cleaned due to minor corrosion.,2025-12-18 05:15:57.293298
20,219,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2026-02-05 23:32:44.293298
21,43,,,,,"Scanned for OBD2 codes. Found history code for O2 sensor, but currently not active.",2025-11-03 06:40:50.293298
22,434,,,,,No major issues found during standard multipoint inspection.,2025-08-18 06:45:07.293298
23,51,,,,,No major issues found during standard multipoint inspection.,2026-07-01 02:40:29.293298
24,85,,,,,No major issues found during standard multipoint inspection.,2025-09-16 19:45:46.293298
25,390,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2026-06-27 16:26:23.293298
26,436,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-09-29 21:31:37.293298
27,259,,,,,All fluid levels are normal. Brake pads are at 40% life.,2026-04-05 14:47:00.293298
28,3,,,,,"Scanned for OBD2 codes. Found history code for O2 sensor, but currently not active.",2025-11-13 04:42:39.293298
29,502,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2026-07-16 04:35:38.293298
30,350,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2025-09-22 21:43:49.293298
31,121,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-08-14 07:20:04.293298
32,95,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-02-27 11:05:36.293298
33,192,,,,,All fluid levels are normal. Brake pads are at 40% life.,2026-03-08 13:28:48.293298
34,498,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-08-27 05:25:35.293298
35,152,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2026-01-03 23:27:22.293298
36,349,,,,,No major issues found during standard multipoint inspection.,2025-08-06 01:16:23.293298
37,432,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2025-10-17 09:28:02.293298
38,212,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2026-02-03 14:17:18.293298
39,220,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2025-11-02 18:05:20.293298
40,180,,,,,All fluid levels are normal. Brake pads are at 40% life.,2025-10-02 11:34:51.293298
