id,session_id,sender,message_text,sent_at
1,5,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-10-11 20:19:24.312132
2,144,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2025-09-06 22:09:01.312132
3,10,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-01-25 20:50:36.312132
4,91,employee,How much transmission fluid is required for a complete flush on this model?,2025-12-24 23:45:54.312132
5,159,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-11-11 01:38:32.312132
6,187,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-06-15 01:12:17.312132
7,245,employee,"Vehicle is throwing code P0300, what are the top three causes?",2025-08-14 00:06:38.312132
8,207,employee,How much transmission fluid is required for a complete flush on this model?,2026-02-19 01:29:20.312132
9,274,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2025-10-09 15:38:38.312132
10,165,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-09-25 11:32:44.312132
11,293,employee,Show me the wiring diagram for the alternator and main relay.,2026-07-18 23:08:40.312132
12,23,employee,Show me the wiring diagram for the alternator and main relay.,2026-03-14 05:09:18.312132
13,241,employee,"Vehicle is throwing code P0300, what are the top three causes?",2025-09-02 20:49:43.312132
14,220,employee,Show me the wiring diagram for the alternator and main relay.,2025-09-26 13:45:50.312132
15,23,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-03-14 04:45:29.312132
16,297,employee,What is the torque spec for the cylinder head bolts?,2026-03-18 13:34:32.312132
17,42,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-06-12 05:31:03.312132
18,178,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2026-02-09 12:17:08.312132
19,106,employee,Show me the wiring diagram for the alternator and main relay.,2026-01-31 20:33:57.312132
20,276,employee,Show me the wiring diagram for the alternator and main relay.,2025-08-29 01:31:24.312132
21,147,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2026-05-31 18:40:15.312132
22,189,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-01-29 23:34:11.312132
23,245,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-08-14 00:13:26.312132
24,204,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2025-10-29 21:37:52.312132
25,98,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2026-05-24 08:39:01.312132
26,24,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-05-12 03:49:26.312132
27,297,employee,Show me the wiring diagram for the alternator and main relay.,2026-03-18 13:03:15.312132
28,6,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2026-03-01 12:58:10.312132
29,229,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2025-10-16 00:38:59.312132
30,22,bot,"The capacity is 4.5 liters for a standard drain/fill, or 8.0 liters for a dry fill/flush.",2026-06-18 16:06:27.312132
31,113,employee,Show me the wiring diagram for the alternator and main relay.,2026-04-14 15:14:46.312132
32,263,bot,Pulling up the diagram... I recommend checking the main ground strap first.,2025-11-26 07:23:38.312132
33,147,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-05-31 18:06:56.312132
34,183,employee,What is the torque spec for the cylinder head bolts?,2026-01-12 09:03:54.312132
35,152,bot,"The recommended torque is 35 Nm, followed by a 90-degree turn.",2025-10-25 15:39:06.312132
36,8,employee,Show me the wiring diagram for the alternator and main relay.,2025-10-28 15:16:53.312132
37,57,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-03-12 05:35:36.312132
38,207,employee,Does the OEM part number fit this specific trim variant?,2026-02-19 02:16:12.312132
39,171,bot,"Yes, based on the vehicle catalog, that part is a direct fit.",2026-02-06 14:54:53.312132
40,234,employee,Does the OEM part number fit this specific trim variant?,2026-06-07 14:51:35.312132
41,23,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2026-03-14 05:05:46.312132
42,196,employee,How much transmission fluid is required for a complete flush on this model?,2025-08-11 23:59:58.312132
43,250,employee,Show me the wiring diagram for the alternator and main relay.,2026-01-11 04:12:14.312132
44,105,employee,Show me the wiring diagram for the alternator and main relay.,2025-10-29 18:18:44.312132
45,6,employee,Does the OEM part number fit this specific trim variant?,2026-03-01 12:35:36.312132
46,229,employee,Does the OEM part number fit this specific trim variant?,2025-10-16 00:51:48.312132
47,292,employee,"Vehicle is throwing code P0300, what are the top three causes?",2026-05-09 17:38:32.312132
48,255,bot,"P0300 indicates a random misfire. Start by inspecting spark plugs, ignition coils, and fuel pressure.",2026-05-04 22:16:08.312132
49,55,employee,Does the OEM part number fit this specific trim variant?,2026-01-16 02:19:26.312132
50,292,employee,Show me the wiring diagram for the alternator and main relay.,2026-05-09 17:41:40.312132
