id,job_order_id,name,notes,status,photo,findings_description,logged_date
1,380,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-01-08 21:56:21.312132
2,298,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2025-08-20 05:19:42.312132
3,64,,,,,All fluid levels are normal. Brake pads are at 40% life.,2026-03-15 14:06:15.312132
4,444,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2026-06-24 00:04:29.312132
5,274,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2025-09-27 14:44:47.312132
6,266,,,,,No major issues found during standard multipoint inspection.,2025-12-15 09:10:40.312132
7,476,,,,,Suspension check complete. Front right strut is leaking and requires replacement.,2026-01-10 16:50:50.312132
8,250,,,,,Tire tread depth is below safety limits on rear tires. Recommended replacement.,2026-06-22 08:01:42.312132
9,253,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2025-12-05 21:57:00.312132
10,425,,,,,No major issues found during standard multipoint inspection.,2026-01-19 00:30:19.312132
11,100,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2025-10-23 00:50:43.312132
12,434,,,,,Vehicle inspected. Found minor oil leak near the valve cover gasket.,2025-11-02 22:25:48.312132
13,466,,,,,Battery health is at 65%. Terminals cleaned due to minor corrosion.,2025-09-05 17:57:15.312132
14,451,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2025-09-20 00:44:03.312132
15,271,,,,,Coolant level is low. Pressure tested system and found small leak at the radiator hose.,2026-07-06 09:36:47.312132
16,189,,,,,All fluid levels are normal. Brake pads are at 40% life.,2026-05-15 20:47:54.312132
17,220,,,,,No major issues found during standard multipoint inspection.,2025-09-25 21:40:14.312132
18,145,,,,,All fluid levels are normal. Brake pads are at 40% life.,2025-11-04 23:19:33.312132
19,212,,,,,No major issues found during standard multipoint inspection.,2026-05-14 21:52:48.312132
20,450,,,,,Battery health is at 65%. Terminals cleaned due to minor corrosion.,2025-12-25 00:23:50.312132
